run;http:32b(ms);coap:32b(ms);http:2kb(ms);coap:2kb(ms);http:8kb(ms);coap:8kb(ms);http:1mb(ms);coap:1mb(ms)
0;269;3;3;4;5;18;68;1544
1;2;2;2;3;2;10;68;1069
2;1;1;2;2;2;8;102;929
3;3;2;2;2;2;7;65;707
4;2;1;2;2;2;5;55;661
5;1;1;2;2;2;5;62;664
6;1;1;2;1;2;5;99;906
7;1;2;1;2;1;5;113;617
8;2;1;2;2;1;6;103;654
9;2;1;2;2;1;5;108;673
10;1;2;1;1;1;5;59;632
11;2;1;6;2;2;5;119;629
12;1;1;1;2;2;5;112;630
13;1;1;2;1;1;5;111;692
14;1;2;2;1;2;5;55;637
15;2;1;3;3;3;9;128;609
16;2;1;2;2;2;5;109;713
17;2;1;2;1;1;5;121;585
18;2;4;3;2;2;5;112;653
19;2;1;1;2;2;5;58;603
20;1;1;1;1;1;5;117;676
21;2;1;2;2;2;6;126;647
22;5;1;1;2;2;6;118;608
23;2;1;1;1;2;5;126;700
24;2;1;2;2;2;5;122;620
25;2;1;7;2;2;6;136;618
26;2;1;1;1;2;6;123;676
27;2;1;2;2;2;5;58;702
28;2;1;3;2;2;5;130;617
29;1;1;1;2;2;5;139;619
30;2;1;4;1;1;6;130;691
31;2;1;1;2;2;5;130;611
32;2;1;2;2;2;5;133;613
33;2;1;1;1;2;5;53;777
34;3;1;2;1;9;10;54;670
35;1;1;1;2;2;5;55;699
36;1;1;1;1;6;5;54;630
37;2;1;1;2;2;5;54;749
38;2;1;1;2;2;9;52;590
39;2;2;5;2;2;6;54;739
40;2;1;2;1;6;5;53;699
41;2;1;1;2;2;5;158;614
42;1;1;1;2;2;5;54;591
43;2;1;1;2;2;5;148;586
44;1;1;2;1;1;5;149;665
45;2;1;2;1;2;5;150;684
46;2;1;1;2;2;9;52;592
47;1;2;1;2;2;7;56;776
48;1;1;2;2;2;5;156;702
49;1;1;1;1;2;5;53;601
